country,ingredient
chinese,"200 g broccoli, cut into florets"
chinese,"4 slices, ginger"
chinese,"1 tsp garlic, minced"
chinese,2 tsp Shaoxing wine
chinese,1 tsp sesame oil
indian,500g boneless chicken breast
indian,1 tbsp ginger-garlic paste
indian,1 tsp garam masala
indian,1/2 tsp coriander powder (option)
indian,1/2 tsp cumin powder (optional)
indian,1/4 tsp turmeric powder
indian,1/4 tsp black pepper
indian,1 tsp salt
indian,2 tsp Kashmiri chili powder
indian,4 tbsp plain yogurt
indian,1 tsp lemon juice (optional)
indian,A pinch of red food coloring (optional)
indian,3 tbsp cornstarch
indian,2 tbsp  rice flour
indian,1 tbsp vegetable oil
indian,1 tsp cumin seeds
indian,1 tsp ginger-garlic paste
indian,"2 green chilies, slit"
indian,1 dried chili
indian,2 stalks of curry leaves
indian,2 tbsp water
indian,"Curry leaves, onion rings, and lemon wedges to garnish"
indian,Vegetable oil for deep-frying and tempering the spices
indian,2 tbsp oil
indian,1 tsp cumin seeds
indian,1 cinnamon bark
indian,3 cloves
indian,1/4 tsp black pepper
indian,"1 medium size onion, sliced"
indian,"1 medium size tomato, chopped"
indian,"500g beef, boneless"
indian,5 MINUTES
indian,1 tbsp ginger paste
indian,1 tbsp garlic paste
indian,1/4 cups water
indian,1 tsp salt
indian,1 tbsp chili powder
indian,1 tsp chili flakes
indian,1 tbsp garam masala
indian,1 tbsp coriander powder
indian,1 tsp turmeric powder
indian,1 tsp paprika
indian,1/2 tsp crushed black pepper
indian,3 tbsp yogurt
indian,Coriander leaves to garnish
indian,"380g (1 cup) cabbage, sliced thinly "
indian,"100g (1 medium) onion, sliced thinly "
indian,"60g (1 small) carrot, cut julienne "
indian,2 tbsp cooking oil
indian,1 stalk curry leaves 
indian,1 tsp mustard seeds 
indian,1 tsp cumin seeds 
indian,1/4 tsp hing (optional) 
indian,"4 dried chilies, cut into sections, remove seeds"
indian,1/2 tsp turmeric powder 
indian,1 tsp salt 
indian,4 tbsp water 
indian,1/4 cup grated coconut (optional)
indian,"500g chicken thigh meat, cut into bite size"
indian,1/2 tsp black pepper
indian,1 tsp salt
indian,3 tbsp oil or ghee
indian,100g chopped onion
indian,1 tsp cumin seeds
indian,1 tsp chopped ginger
indian,1 tsp chopped garlic
indian,1/2 tsp turmeric powder
indian,2 tsp chili powder
indian,2 tsp coriander powder
indian,"200g tomato, chopped"
indian,1 tbsp tomato paste
indian,3 tbsp  yogurt
indian,1/3 cup water
indian,3 green bird's eye chili
indian,1 tsp garam masala
indian,2 tsp kasuri methi
indian,3 tbsp cream
indian,2 tbsp chopped coriander
indian,"1 kg lamb leg or shoulder, cut  into one-inch chunks"
indian,1/3 cups of plain yogurt
indian,4 tbsp ghee
indian,"1 large size onion, cut into slices"
indian,"5 cloves garlic, rough cut"
indian,"1 thumb-size fresh ginger, rough cut"
indian,"2 green chilies, remove seeds, rough cut"
indian,2 tbsp water
indian,2 bay leaves
indian,3-inch length cinnamon stick
indian,5 green cardamoms
indian,5 cloves
indian,1 tbsp cumin seeds
indian,1 tsp turmeric powder
indian,1 tbsp Kashmiri chili powder
indian,1 tbsp coriander powder
indian,1 tsp salt (or to taste)
indian,1 tsp garam masala powder
indian,1/4 tsp ground black pepper
indian,1/2 tsp ground nutmeg
indian,1/2 tsp ground mace
indian,2 tbsp cooking oil
indian,"1 kg beef (chuck, brisket, or rump) cut into 1-inch cubes"
indian,1 tsp cumin seeds
indian,Curry leaves 
indian,1 cup chopped onions
indian,1 tbsp garlic paste
indian,1 tbsp ginger paste
indian,Bay leaves 
indian,1/2 tsp turmeric powder
indian,1/2 tsp cumin powder
indian,1 tbsp coriander powder
indian,1 tbsp garam masala
indian,1 tbsp Kashmiri chili powder
indian,2 tbsp tomato paste
indian,1/4 cup chopped coriander (cilantro) leaves
indian,Salt to taste
indian,Water or stock sufficient to stew the beef
indian,"500g potatoes, peeled and cubed"
indian,2 tsp salt
indian,1 tsp turmeric powder
indian,3 tbsp oil
indian,"1 medium size onion, sliced crosswise"
indian,2 tsp mustard seeds
indian,1 sprig of curry leaves
indian,2 tbsp tomato paste
indian,1 tsp salt
indian,2 tsp coriander powder
indian,1 tsp cumin powder
indian,1/2 tsp turmeric powder
indian,1 tsp paprika
indian,1 tbsp curry powder
indian,1 tsp Kashmiri chili powder 
indian,1 tsp garam masala
indian,1/2 tsp crushed black pepper 
indian,1 tsp kasuri methi
indian,1 tbsp chopped coriander
indian,1 tbsp vegetable oil
indian,2 dried red chilies
indian,3 bay leaves
indian,2 green cardamom
indian,2-inch cinnamon
indian,1 tbsp coriander seeds
indian,"1 large onion, roughly chopped"
indian,"500g potatoes, peeled and cut into half-inch cubes"
indian,1/2 tsp cumin seeds
indian,1tsp ginger garlic paste
indian,1/2 tsp turmeric powder
indian,1 tbsp Kashmiri chili powder
indian,1 large tomato
indian,1 tsp garam masala
indian,1 tsp salt
indian,1/2 cup green peas
indian,2 tbsp chopped coriander leaves
indian,1 cup water
indian,1 tsp kasuri methi
indian,500g chicken thigh meat
indian,1/2 tsp salt
indian,1/2 tsp ground black pepper
indian,2 tsp light soy sauce
indian,1 tsp minced ginger
indian,1 tsp minced garlic
indian,1 tbsp cornstarch
indian,1 tbsp vegetable oil
indian,1/2 egg white
indian,1 tbsp cornstarch
indian,1 tbsp all-purpose flour
indian,2 tsp minced garlic
indian,2 tsp minced ginger
indian,1 tbsp thinly sliced scallion (white section)
indian,1 medium-size onion (sliced)
indian,"2 green chilies, cut on the bias, into 1-inch sections"
indian,"2 small bell peppers, cut into bite-size pieces"
indian,2 tbsp chili sauce
indian,2 tbsp tomato ketchup
indian,2 tsp vinegar
indian,1 tsp Kashmiri chili powder
indian,Cornstarch slurry (made with 1 tsp cornstarch and 2 tbsp cold water)
indian,Vegetables to deep-fry and stir fry
indian,Green section of the scallion to garnish.
indian,2 tbsp ghee
indian,2 tbsp minced garlic
indian,2 tbsp minced ginger
indian,1 tbsp cumin seeds
indian,2 tbsp chopped green chili
indian,"1 medium-sized onion, diced"
indian,1 tsp chili powder
indian,1 tsp coriander powder
indian,1/2 tsp garam masala
indian,1/2 tsp salt
indian,1 tbsp lemon juice
indian,"400g potato, boiled and diced"
indian,150g frozen green peas
indian,1/4 cup water
indian,"1/2 cup coriander leaves, chopped"
indian,250g all-purpose flour
indian,1 tsp salt
indian,60g ghee
indian,70ml water
japanese,"2 chicken deboned thighs, skin-on"
japanese,1/4 tsp ground white pepper
japanese,1/4 tsp salt
japanese,2 tbsp Japanese soy sauce
japanese,3 tbsp mirin
japanese,2 tbsp brown sugar
japanese,4 slices ginger
japanese,2 cloves garlic
japanese,Sesame seeds and sliced green onion to garnish
japanese,"500 g chicken thighs, skin-on, boneless, cut into 2.5 cm pieces"
japanese,"1 tablespoon ginger, , grated"
japanese,"1 clove garlic, , minced"
japanese,4 teaspoons Japanese soy sauce
japanese,1 tablespoon sake
japanese,1 teaspoon sugar
japanese,equal portion of wheat flour and potato starch for coating
japanese,Lemon wedges to garnish
japanese,"Vegetable oil, for frying"
japanese,350g steak
japanese,7g ginger (to make ginger garlic juice)
japanese,2 cloves garlic (to make ginger garlic juice)
japanese,1 tbsp sake
japanese,1/4 tsp salt
japanese,1 tbsp vegetable oil
japanese,2 tbsp Japanese soy sauce
japanese,2 tbsp sake
japanese,2 tbsp sugar
japanese,Green onion and toasted sesame seeds to garnish
japanese,200g fresh udon noodles
japanese,"125g beef, thinly sliced across the grain"
japanese,1/4 tsp salt
japanese,1/4 tsp baking soda
japanese,2 tsp vegetable oil
japanese,1 tsp cornstarch
japanese,2 tsp light soy sauce
japanese,1 tsp dark soy sauce
japanese,1 tbsp mirin
japanese,2 tsp sesame oil
japanese,1 tbsp oyster sauce
japanese,1/2 tsp sugar
japanese,1/2 tsp salt
japanese,1 tsp crushed black pepper
japanese,1 tbsp chopped garlic
japanese,"1 medium-sized onion, sliced"
japanese,1 bell pepper. sliced (preferably mixed color for better presentation)
japanese,"1 stalk celery, sliced"
japanese,"5 dried shitake mushrooms, rehydrate and cut into strips"
japanese,Green onions and toasted sesame seeds to garnish
japanese,200g chicken thigh meat
japanese,"2 stalks of spring onions, cut into thin rings"
japanese,"1 onion, cut into thin slices"
japanese,"1 carrot, cut into julienne"
japanese,1 liter dashi stock (see note)
japanese,2 bricks of Japanese curry roux
japanese,2 packets of fresh udon 
japanese,1 packet of shimeiji mushrooms
japanese,2 tsp sake
japanese,2 tsp Japanese soy sauce
japanese,2 tsp mirin
japanese,1 tsp sesame oil
japanese,"1 pound of shrimp, peeled"
japanese,2 tsp salt
japanese,1/2 tsp baking soda
japanese,1/2 cup all-purpose flour
japanese,1/4 tsp salt
japanese,1/2 tsp paprika
japanese,1/4 tsp black pepper
japanese,1/8 tsp turmeric powder
japanese,1 tsp garlic powder
japanese,1 cup panko
japanese,1/4 tsp salt
japanese,1/2 tsp paprika
japanese,1/4 tsp black pepper
japanese,1/8 tsp turmeric powder
japanese,1 tsp garlic powder
japanese,1 egg (beat with 2 tbsp of water)
japanese,vegetable oil for frying
japanese,200g dried spaghetti
japanese,1.5 liter water 
japanese,1.5 tbsp salt
japanese,3 tbsp of olive oil
japanese,"4 large cloves of garlic, thinly sliced"
japanese,"1 red chili, remove seeds, thinly sliced"
japanese,1 tsp chili flakes
japanese,"100g shiitake mushrooms, sliced"
japanese,"150g shimeji mushrooms, cut into two if too long"
japanese,"150g oyster mushrooms, break up into small pieces"
japanese,1 tsp of salt
japanese,1/2 tsp of ground black pepper
japanese,1.5 tsp of dashi granules
japanese,1 tbsp of scallion rings
japanese,1 tbsp of bonito flakes
japanese,4 large eggs
japanese,4 tbsp dashi (see note)
japanese,1 tbsp sugar
japanese,1 tsp light soy sauce
japanese,a pinch of salt
japanese,1 tbsp vegetable oil for frying
japanese,"1kg pork belly, skin on"
japanese,"1 medium-size onion, cut into quarter"
japanese,10g kombu (optional)
japanese,"2 stalks scallion, cut into 3-inch sections"
japanese,4 tbsp sugar
japanese,4 tbsp sake
japanese,4 tbsp mirin
japanese,"15g ginger, cut into thin slices"
japanese,1 cup Japanese soy sauce
japanese,Sufficient water to submerge the pork belly in the pot
japanese,"400g chicken thigh meat (skinless, boneless), cut into bite-size"
japanese,3/4 tsp salt
japanese,1 tablespoon Japanese soy sauce
japanese,1 tablespoon mirin
japanese,1 tablespoon sake
japanese,2 tsp sugar
japanese,1 tbsp vegetable oil
japanese,"3 cloves of garlic, chopped "
japanese,"1 inch ginger, chopped "
japanese,"20g dried shiitake mushrooms, soaked and cut into halves"
japanese,"100g (3 oz) red/green bell peppers, cut into long thin strips"
japanese,"100g (3 oz) carrots, cut into long strips "
japanese,1 tsp salt
japanese,1 tbsp Japanese soy sauce
japanese,2 tsp cornstarch (with 4 tbsp water)
japanese,400g/14oz fresh soba (or other noodles of your choice)
japanese,2 tbsp thinly sliced scallions
japanese,1 tbsp sesame seeds
korean,1.2kg chicken (thighs and wings) 
korean,1.5 tsp salt
korean,"20g grated ginger, use only the juice "
korean,1/4 tsp ground white pepper 
korean,70g cornstarch 
korean,1 tsp baking powder 
korean,2 tbsp vegetable oil 
korean,"3 dry chili, remove seeds, cut into sections "
korean,2 tbsp minced garlic 
korean,1 tbsp minced ginger 
korean,2 tbsp ketchup 
korean,4 tbsp Gochujang 
korean,3 tbsp brown sugar 
korean,1 tbsp soy sauce 
korean,1 tbsp white vinegar 
korean,3 tbsp honey (or rice syrup)
korean,2 tsp sesame oil
korean,1 tbsp toasted sesame seeds 
korean,1/4 cup of water
korean,More toasted sesame seeds 
korean,Sliced scallions in short sections
korean,"100g ribeye filet, cut into ¼ inch wide long strips"
korean,2 tsp soy sauce
korean,1/2 tsp minced garlic
korean,1/4 ground black pepper
korean,"100g spinach, washed and drained"
korean,1/4 tsp salt
korean,1/2 tsp minced garlic
korean,1/2 tsp toasted sesame oil. 
korean,"1 onion, medium size, sliced thinly"
korean,2 stalk scallion
korean,"1 medium carrot, cut into julienne"
korean,"½ red bell pepper, cut into julienne"
korean,"4 dried shiitake mushrooms, soaked, cut into thin strips"
korean,1 egg
korean,150g of dangmyeon (sweet potato noodles)
korean,3 tbsp soy sauce
korean,1 tbsp honey
korean,1 tbsp sugar
korean,1 tbsp sesame oil
korean,1/4 tsp ground black pepper
korean,1 tbsp toasted sesame seeds
korean,Salt to taste
korean,vegetable oil for stir-frying
malaysian,180g (6.5 oz) dried shrimp
malaysian,5 stalks of curry leaves
malaysian,12 bird’s eye chilies
malaysian,4 small onions
malaysian,6 cloves of garlic
malaysian,4 tbsp Malaysian curry powder
malaysian,4 tbsp oyster sauce
malaysian,4 tbsp light soy sauce
malaysian,2 tbsp sugar
malaysian,1 tbsp dark soy sauce
malaysian,1/2 cup of water
malaysian,3 deboned chicken chops (about 750g)
malaysian,1 tbsp Worcestershire sauce
malaysian,1 tsp light soy sauce
malaysian,1/2 tsp freshly ground black pepper
malaysian,1/2 tsp dried thyme
malaysian,1/2 tsp dried rosemary
malaysian,1/2 salt
malaysian,1 tbsp vegetable oil
malaysian,1 tbsp vegetable oil
malaysian,"4 cloves garlic, coarsely chopped"
malaysian,"1/2 medium-sized onion, sliced"
malaysian,"100g fresh button mushrooms, sliced"
malaysian,1/2 cup chicken stock
malaysian,3 tbsp whipping cream
malaysian,1/2 tsp salt
malaysian,1/4 freshly ground black pepper
malaysian,1 tsp cornstarch
malaysian,1/4 cup water
malaysian,1/4 tsp dark soy sauce
malaysian,200g (7 oz) shrimp meat
malaysian,400g (0.8 lb) chicken breast
malaysian,1kg (2 lbs) flat rice noodles (Hor Fun)
malaysian,1 Cup Bean Sprouts
malaysian,"100 g (4 oz) chives, cut into 3 cm segments"
malaysian,"3 stalks of scallions, cut into short sections"
malaysian,3 stalks of chives
malaysian,"3 fresh red chilies, sliced"
malaysian,4 tbsp crispy fried shallots 
malaysian,1.4 kg (3lbs) chicken bones
malaysian,Sufficient water to submerge the chicken
malaysian,1 Tbsp Whole White Peppercorns
malaysian,30g (1 oz) rock Sugar
malaysian,2 tsp Salt
malaysian,500g (1 lb) Shrimp Shells
malaysian,100ml (3.5 oz) cooking oil ( for frying the shrimp heads)
malaysian,1.5 pounds chicken
malaysian,1 oz belacan
malaysian,1 tbsp curry powder
malaysian,1/2 tsp turmeric powder
malaysian,1/2 tsp salt (adjust to taste)
malaysian,2 tbsp cornstarch
malaysian,1 tbsp garlic (minced)
malaysian,1 tbsp ginger (minced)
malaysian,sufficient cooking oil for shallow frying
malaysian,2 sprigs of curry leaves
malaysian,Lime wedges to garnish
malaysian,100g  shallots
malaysian,8 cloves of Garlic
malaysian,3 tbsp of fermented bean paste (Taucu)
malaysian,"1kg chicken thighs, bone-in, skin-on chunks"
malaysian,2 tbsp light soy sauce
malaysian,2 tbsp dark soy sauce
malaysian,1 cup of water
malaysian,"450g potatoes, cut into large chunks"
malaysian,5 medium-sized dried shitake mushrooms (soak and cut into slices)
malaysian,2 tbsp palm Sugar (Gula Melaka)
malaysian,1/4 tsp salt
malaysian,"1 kg beef (brisket, rump, topside, or chuck tender), cut into 1-2 inches length"
malaysian,250g onion
malaysian,6 cloves garlic
malaysian,5 lemongrass
malaysian,40g ginger
malaysian,30g turmeric
malaysian,40g galangal
malaysian,3 candlenuts
malaysian,"15 small dried chilies, remove seeds and soaked until soften"
malaysian,"Half cup water, or more if necessary"
malaysian,1/2 tbsp cumin seeds
malaysian,1/2 tbsp fennel seeds
malaysian,1 tbsp coriander seeds
malaysian,1 cinnamon bark
malaysian,5 cardamom
malaysian,2 star anise
malaysian,6 cloves
malaysian,100ml cooking oil
malaysian,400ml coconut cream
malaysian,4 tbsp kerisik (see note)
malaysian,1 piece asam keping
malaysian,60g palm sugar
malaysian,2 tsp salt
malaysian,1/4 tsp ground black pepper
malaysian,"2 turmeric leaves, thinly sliced"
malaysian,Sliced red chili for garnishing
malaysian,1kg chicken on the bone 
malaysian,1 tbsp minced garlic 
malaysian,1 tbsp minced ginger 
malaysian,1 tbsp Malaysian curry powder 
malaysian,1 tbsp chili powder
malaysian,1 tbsp coriander powder
malaysian,1/2 tsp turmeric powder 
malaysian,1/2 tsp cumin powder 
malaysian,2 tbsp plain yogurt 
malaysian,1/2 tsp white pepper powder 
malaysian,2 tsp salt 
malaysian,2 stalks curry leaves 
malaysian,3 tbsp all-purpose flour 
malaysian,4 tbsp cornstarch starch
malaysian,1 egg 
malaysian,1/2 tsp baking powder
malaysian,"1 kg chicken, bone-in, skin-on, large chunks"
malaysian,1/2 tablespoon ground turmeric
malaysian,4 teaspoons salt
malaysian,1 teaspoons vegetable oil
malaysian,150 g onions
malaysian,2 cloves garlic
malaysian,10 g ginger
malaysian,20 g galangal
malaysian,10 g turmeric
malaysian,4 candlenuts
malaysian,"65 g lemongrass, weight for white section only"
malaysian,"4 dry red chili, soak in water until soft"
malaysian,"40 g red chili, (serrano chili)"
malaysian,4 g belacan
malaysian,4 tablespoons vegetable oil
malaysian,250 g coconut cream
malaysian,1/2 tablespoon tamarind paste
malaysian,3 kaffir lime leaves
malaysian,2 teaspoon palm sugar
malaysian,fried shallots
malaysian,"kaffir lime leaves, finely slices"
malaysian,"red chilies, cut into small pieces"
malaysian,"1kg chicken bone-in, skin-on thighs"
malaysian,2 tsp light soy sauce
malaysian,2 tsp salt
malaysian,2 medium-size onions
malaysian,4 cloves of garlic
malaysian,15g ginger
malaysian,20g galangal
malaysian,10g turmeric
malaysian,3 lemongrass
malaysian,5 red chilies (100g)
malaysian,5 candlenuts
malaysian,2 tbsp of peanut oil
malaysian,4 tbsp Baba brand Malaysian curry powder
malaysian,1 stalk of curry leaves
malaysian,500g potatoes
malaysian,200ml coconut cream
malaysian,1 tsp sugar
malaysian,1/2 tsp salt
thai,8 cloves garlic 
thai,3 bird’s eye chili 
thai,"3 large red chili, remove seeds"
thai,1.5 tbsp light soy sauce 
thai,1.5 tbsp oyster sauce 
thai,1 tbsp fish sauce 
thai,2 tsp dark soy sauce 
thai,2 tsp sugar 
thai,2 tbsp water
thai,500g ground beef
thai,"3/4 cup long bean, cut on the bias, 1cm length "
thai,"I medium-size onion, cut into small dices"
thai,1.5 cup basil leaves
thai,1 tsp cornstarch (make a slurry with 2 tbsp of water)
thai,1 egg
thai,"200g Chinese broccoli (Gai Lan), separate the stems from the leaves"
thai,"100g cauliflower, cut into small florets"
thai,"50g carrots, cut into wedges"
thai,"20 snow peas, remove the strings, and cut into half"
thai,6 baby corns
thai,"70g cabbage, cut into 2/inch pieces"
thai,"5 dried shitake mushrooms, soaked to soften and cut into strip"
thai,1 tbsp chopped garlic
thai,"3 bird’s eye chili, bashed (optional)"
thai,2 tbsp vegetable oil 
thai,2 tbsp Golden Mountain sauce
thai,2 tbsp fish sauce
thai,2 tbsp oyster sauce
thai,2 tsp sugar
thai,2 tbsp water
thai,3.5 tbsp fish sauce
thai,1.5 tbsp oyster sauce
thai,2 tbsp light soy sauce
thai,1 tsp dark soy sauce (Optional)
thai,1 pound eggplant
thai,1 large bunch of basil leaves
thai,"150g chicken meat, minced"
thai,6 bird's eye chili
thai,2 large red chilies
thai,4 cloves garlic
thai,2 eggs
thai,Sufficient oil for frying
thai,1 tbsp lime juice
thai,1 tbsp fish sauce
thai,1 tsp chopped chili
thai,1/2 tsp chopped garlic
thai,250g chicken breast meat
thai,2 tsp light soy sauce
thai,1/4 tsp salt
thai,4 cloves garlic
thai,5 bird's eye chilies
thai,2 tbsp Thai chili paste
thai,1/2 tsp chili flakes
thai,"1/2 onion, sliced"
thai,400g left-over rice
thai,1 cup fresh basil leaves
thai,2 eggs
thai,vegetables oil for frying
thai,1 tbsp of oyster sauce
thai,1 tbsp of light soy sauce
thai,1 tbsp of fish sauce
thai,1 tsp of sugar
thai,1 tbsp of water
thai,Lime wedges
thai,Cucumber slices
thai,Tomato slices
thai,70 g Thai green curry paste (store-bought)
thai,500 g chicken breast meat (or chicken thigh)
thai,375 ml (1.5cups) of coconut milk
thai,8 sprigs Thai basil leaf (use the leaf only)
thai,125ml (half cup) chicken stock
thai,70 g eggplants
thai,70 g king oyster mushroom 
thai,4 pieces kaffir lime leaves
thai,30 g palm sugar
thai,2 tbsp fish sauce
thai,1 red  chilies for garnishing
thai,"400g firm tofu, cut into small cubes"
thai,"3 stalks of long beans (50g), cut into short sections"
thai,1 large handful of Thai basil (30g dry weight)
thai,2 tbsp fish sauce
thai,1.5 tbsp oyster sauce
thai,1.5 tbsp light soy sauce
thai,2 tsp dark soy sauce
thai,2 tbsp sugar
thai,2 tbsp water
thai,8 bird's eye chiles
thai,4 cloves garlic
thai,2 red chilies
thai,600g firm tofu
thai,2 tbsp chopped garlic
thai,"1/2 medium onion, sliced"
thai,"1/4 carrot, cut into strips"
thai,"2 chili padi, chopped"
thai,4 tbsp palm sugar
thai,2 tsp tom yum paste
thai,4 tbsp fish sauce
thai,4 tbsp lime juice
thai,coriander leaves and red chili to garnish
thai,"400g chicken breast meat, dice"
thai,"100g cauliflower, cut into small florets"
thai,"100g carrot, slice thinly"
thai,"5 long beans, cut into sections"
thai,"1 red bell paper, cut into one-inch pieces"
thai,5 baby corn
thai,1.5 tbsp sweet soy sauce
thai,2 tsp Tom Yam paste
thai,2 tbsp oyster sauce
thai,1 tsp sugar
thai,2 tbsp fish sauce
thai,1/4 tsp salt 
thai,5 tsp chili paste
thai,"2 bird’s eye chilies, remove seeds"
thai,"2 lemongrass, bashed"
thai,"3 clove garlic, chopped"
thai,"1 inch ginger, chopped"
thai,"1 yellow onion, sliced thinly"
thai,5 kaffir lime leaves
thai,"100g chicken meat, cut into slices"
thai,2 tsp fish sauce
thai,1/8 tsp ground white pepper
thai,500g bee hoon (weight after soak and drain)
thai,50 g beansprout
thai,"50g carrot, cut into fine strips"
thai,"1 lemongrass, cut into thin slices"
thai,"5 kaffir lime leaves, cut into very thin slices"
thai,"1 medium size onion, cut into slices"
thai,1 tbsp chopped garlic
thai,2 large handful of cabbage strips
thai,125g tom yum paste
thai,1 tbsp sugar
thai,Salt to taste
thai,"1 egg, form omelet, and cut into strips"
thai,More kaffir lime leave strips and spring onions to garnish
thai,1 whole fish (1kg) with guts and gills removed
thai,"3 stalks of lemongrass, white parts only, bashed"
thai,1/2 cup chicken broth
thai,4 tbsp palm sugar
thai,"1 head of garlic, chopped"
thai,"4 bird’s eye chilies, chopped"
thai,"4 sprigs of coriander (cut the stem for the sauce, leaves to garnish)"
thai,4 tbsp fish sauce
thai,4 tbsp lime juice
thai,"Chopped red chilies, lime slices, and coriander leaves to garnish"
vietnamese,500g pork belly
vietnamese,500g ground pork
vietnamese,4 tbsp caramel sauce
vietnamese,2 tbsp minced garlic
vietnamese,"4 tbsp shallot, finely chopped"
vietnamese,2 tbsp oyster sauce
vietnamese,1 tsp ground black pepper
vietnamese,4 tbsp fish sauce
vietnamese,2 tbsp sugar
vietnamese,1 tbsp vinegar
vietnamese,3 tbsp sugar
