country,recipe_title,recipe_url,ingredient
chinese,Scallion Oil Noodles 葱油拌面,https://tasteasianfood.com/scallion-oil-noodles/,1.5 tbsp sugar
chinese,Scallion Oil Noodles 葱油拌面,https://tasteasianfood.com/scallion-oil-noodles/,7 oz (200g) wheat noodles (fresh or dried)
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,Ingredients A (For the stuffing)
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,450g minced pork
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,1 tbsp light soy sauce
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,1 tbsp oyster sauce
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,1 tsp minced ginger
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,2 tsp minced garlic
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,1 tbsp Shaoxing wine
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,1/2 tsp salt
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,1/2 tsp ground white pepper
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,"3 medium-sized dried shitake mushrooms, soak and diced"
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,"1 small onion, finely diced"
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,1 tbsp finely diced carrot
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,Ingredients B (bitter gourd)
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,2 medium-sized bitter gourd
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,1tsp salt
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,Ingredients C (Black bean sauce - optional)
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,2 clove garlic
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,2 tbsp store-bought black bean paste
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,1 tbsp Shaoxing wine
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,2 tsp oil
chinese,Stuffed bitter melon recipe,https://tasteasianfood.com/bitter-melon-recipe/,1 tsp cornstarch (mixed with 2 tbsp of cold water)
chinese,Crispy Fried Shrimp Recipe,https://tasteasianfood.com/crispy-fried-shrimp/,100 g Rice Flour
chinese,Crispy Fried Shrimp Recipe,https://tasteasianfood.com/crispy-fried-shrimp/,40 g Wheat Starch
chinese,Crispy Fried Shrimp Recipe,https://tasteasianfood.com/crispy-fried-shrimp/,40 g Cornstarch
chinese,Crispy Fried Shrimp Recipe,https://tasteasianfood.com/crispy-fried-shrimp/,25 g All-Purpose Flour
chinese,Crispy Fried Shrimp Recipe,https://tasteasianfood.com/crispy-fried-shrimp/,½ tsp Baking Powder
chinese,Crispy Fried Shrimp Recipe,https://tasteasianfood.com/crispy-fried-shrimp/,1/2 tsp Salt
chinese,Crispy Fried Shrimp Recipe,https://tasteasianfood.com/crispy-fried-shrimp/,180 ml Ice-Cold Water (adjust for a thin batter)
chinese,Crispy Fried Shrimp Recipe,https://tasteasianfood.com/crispy-fried-shrimp/,1 Egg White 
chinese,Crispy Fried Shrimp Recipe,https://tasteasianfood.com/crispy-fried-shrimp/,1 tsp Vegetable Oil
chinese,Crispy Fried Shrimp Recipe,https://tasteasianfood.com/crispy-fried-shrimp/,20 medium-sized shrimp
chinese,Crispy Fried Shrimp Recipe,https://tasteasianfood.com/crispy-fried-shrimp/,Oil for frying
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,"150g (5 oz) Chicken Breast or Thigh, thinly sliced"
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,1 tsp Light Soy Sauce
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,½ tsp Cornstarch
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,½ tsp Sesame Oil
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,A pinch of White Pepper
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,1 medium fuzzy Melon (500g / 1 lb) 
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,"3 tbsp Dried Shrimp, rinsed and soaked"
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,"2-3 cloves of Garlic, minced"
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,"1 bundle (50-70g / 2 oz) Glass Noodles, soaked"
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,Reserved Dried Shrimp Soaking Water
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,2 tbsp vegetable oil 
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,"1-2 stalks scallion, sliced (for garnish)"
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,1 tbsp Light Soy Sauce
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,1 tbsp Oyster Sauce 
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,¼ tsp White Pepper
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,1/2 tsp salt
chinese,Fuzzy Melon with Dried Shrimp,https://tasteasianfood.com/fuzzy-melon/,1 tsp Sesame Oil (for finishing)
chinese,Garlic Shrimp with Rice,https://tasteasianfood.com/garlic-shrimp-with-rice/,600g large shrimp (weigh without head and shell)
chinese,Garlic Shrimp with Rice,https://tasteasianfood.com/garlic-shrimp-with-rice/,1 tbsp  cornflour
chinese,Garlic Shrimp with Rice,https://tasteasianfood.com/garlic-shrimp-with-rice/,1/2 teaspoon ground white pepper
chinese,Garlic Shrimp with Rice,https://tasteasianfood.com/garlic-shrimp-with-rice/,1/2 teaspoon sugar
chinese,Garlic Shrimp with Rice,https://tasteasianfood.com/garlic-shrimp-with-rice/,2 stalks scallions
chinese,Garlic Shrimp with Rice,https://tasteasianfood.com/garlic-shrimp-with-rice/,3 tbsp chopped garlic
chinese,Garlic Shrimp with Rice,https://tasteasianfood.com/garlic-shrimp-with-rice/,2 tbsp premium light soy sauce
chinese,Garlic Shrimp with Rice,https://tasteasianfood.com/garlic-shrimp-with-rice/,1 tbsp Shaoxing wine
chinese,Garlic Shrimp with Rice,https://tasteasianfood.com/garlic-shrimp-with-rice/,1/2 teaspoon sesame oil
chinese,Garlic Shrimp with Rice,https://tasteasianfood.com/garlic-shrimp-with-rice/,2 tablespoons vegetable oil
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,"1 kg beef (brisket, chuck)"
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,To blanch the beef:
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,4 slices ginger
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,1 handful of scallion
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,To brown the beef:
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,1.5 tbsp cooking oil
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,4 slices ginger
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,"4 cloves garlic, crushed"
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,1 handful scallion (cut into sections)
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,1 medium-size onion (cut into large pieces)
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,To braise the beef:
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,1 cinnamon bark (about 5cm)
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,2 bay leaves
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,1 star anise (about 10 star-points)
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,1pc large dried orange peel
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,2-4 dried chilies
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,1 tbsp brown sugar
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,2 tbsp Shaoxing wine
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,2.5 tbsp light soy sauce
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,1 tsp dark soy sauce
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,1 tsp salt
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,1.5 tbsp doubanjiang (chili bean paste)
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,1 tbsp tomato paste
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,Sufficient water to braise the beef
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,Serve with:
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,Any noodle of your choice
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,Bok choy
chinese,Taiwanese Beef Noodle Recipe,https://tasteasianfood.com/taiwanese-beef-noodle-soup/,Hard-boiled egg
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,To blanch the pork:
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,500g (1 pound) pork belly
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,1 stalk scallion
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,1cm (1/2 inch) length of ginger
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,1.5 tbsp sugar
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,1 tsp salt
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,1 tbsp cooking oil
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,2 tbsps Shaoxing wine
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,2 tbsp light soy sauce
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,1 tbsp dark soy sauce
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,1 stalk scallion
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,1cm (1/2 inch) length of ginger
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,1 star anise
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,5 cm cinnamon bark
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,2 bay leaves
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,water to braise and blanch the pork
chinese,Hong Shao Rou (Braised Pork Belly),https://tasteasianfood.com/hong-shao-rou/,Sacllion to garnish
chinese,Chicken &amp; Broccoli Stir-fry,https://tasteasianfood.com/chicken-and-broccoli-stir-fry/,1 tsp light soy sauce
chinese,Chicken &amp; Broccoli Stir-fry,https://tasteasianfood.com/chicken-and-broccoli-stir-fry/,1 tsp oil
chinese,Chicken &amp; Broccoli Stir-fry,https://tasteasianfood.com/chicken-and-broccoli-stir-fry/,1/8 tsp salt
chinese,Chicken &amp; Broccoli Stir-fry,https://tasteasianfood.com/chicken-and-broccoli-stir-fry/,1/4 egg white
chinese,Chicken &amp; Broccoli Stir-fry,https://tasteasianfood.com/chicken-and-broccoli-stir-fry/,1/4 tsp salt
chinese,Chicken &amp; Broccoli Stir-fry,https://tasteasianfood.com/chicken-and-broccoli-stir-fry/,1/4 tsp sugar
chinese,Chicken &amp; Broccoli Stir-fry,https://tasteasianfood.com/chicken-and-broccoli-stir-fry/,1 tsp oyster sauce
chinese,Chicken &amp; Broccoli Stir-fry,https://tasteasianfood.com/chicken-and-broccoli-stir-fry/,dash ground white pepper
chinese,Chicken &amp; Broccoli Stir-fry,https://tasteasianfood.com/chicken-and-broccoli-stir-fry/,"1/2 teaspoon cornflour, as the thickener"
chinese,Chicken &amp; Broccoli Stir-fry,https://tasteasianfood.com/chicken-and-broccoli-stir-fry/,3 tablespoons water
chinese,Chicken &amp; Broccoli Stir-fry,https://tasteasianfood.com/chicken-and-broccoli-stir-fry/,"100 g chicken, breast or thigh meat, cut into slices"
chinese,Chicken &amp; Broccoli Stir-fry,https://tasteasianfood.com/chicken-and-broccoli-stir-fry/,"200 g broccoli, cut into florets"
chinese,Chicken &amp; Broccoli Stir-fry,https://tasteasianfood.com/chicken-and-broccoli-stir-fry/,"4 slices, ginger"
chinese,Chicken &amp; Broccoli Stir-fry,https://tasteasianfood.com/chicken-and-broccoli-stir-fry/,"1 tsp garlic, minced"
chinese,Chicken &amp; Broccoli Stir-fry,https://tasteasianfood.com/chicken-and-broccoli-stir-fry/,2 tsp Shaoxing wine
chinese,Chicken &amp; Broccoli Stir-fry,https://tasteasianfood.com/chicken-and-broccoli-stir-fry/,1 tsp sesame oil
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,500g boneless chicken breast
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,1 tbsp ginger-garlic paste
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,1 tsp garam masala
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,1/2 tsp coriander powder (option)
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,1/2 tsp cumin powder (optional)
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,1/4 tsp turmeric powder
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,1/4 tsp black pepper
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,1 tsp salt
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,2 tsp Kashmiri chili powder
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,4 tbsp plain yogurt
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,1 tsp lemon juice (optional)
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,A pinch of red food coloring (optional)
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,3 tbsp cornstarch
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,2 tbsp  rice flour
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,1 tbsp vegetable oil
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,1 tsp cumin seeds
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,1 tsp ginger-garlic paste
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,"2 green chilies, slit"
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,1 dried chili
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,2 stalks of curry leaves
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,2 tbsp water
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,"Curry leaves, onion rings, and lemon wedges to garnish"
indian,Chicken 65 Recipe,https://tasteasianfood.com/chicken-65-recipe/,Vegetable oil for deep-frying and tempering the spices
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,2 tbsp oil
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,1 tsp cumin seeds
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,1 cinnamon bark
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,3 cloves
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,1/4 tsp black pepper
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,"1 medium size onion, sliced"
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,"1 medium size tomato, chopped"
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,"500g beef, boneless"
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,5 MINUTES
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,1 tbsp ginger paste
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,1 tbsp garlic paste
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,1/4 cups water
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,1 tsp salt
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,1 tbsp chili powder
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,1 tsp chili flakes
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,1 tbsp garam masala
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,1 tbsp coriander powder
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,1 tsp turmeric powder
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,1 tsp paprika
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,1/2 tsp crushed black pepper
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,3 tbsp yogurt
indian,Beef Masala,https://tasteasianfood.com/beef-masala/,Coriander leaves to garnish
indian,Cabbage Thoran,https://tasteasianfood.com/cabbage-thoran/,"380g (1 cup) cabbage, sliced thinly "
indian,Cabbage Thoran,https://tasteasianfood.com/cabbage-thoran/,"100g (1 medium) onion, sliced thinly "
indian,Cabbage Thoran,https://tasteasianfood.com/cabbage-thoran/,"60g (1 small) carrot, cut julienne "
indian,Cabbage Thoran,https://tasteasianfood.com/cabbage-thoran/,2 tbsp cooking oil
indian,Cabbage Thoran,https://tasteasianfood.com/cabbage-thoran/,1 stalk curry leaves 
indian,Cabbage Thoran,https://tasteasianfood.com/cabbage-thoran/,1 tsp mustard seeds 
indian,Cabbage Thoran,https://tasteasianfood.com/cabbage-thoran/,1 tsp cumin seeds 
indian,Cabbage Thoran,https://tasteasianfood.com/cabbage-thoran/,1/4 tsp hing (optional) 
indian,Cabbage Thoran,https://tasteasianfood.com/cabbage-thoran/,"4 dried chilies, cut into sections, remove seeds"
indian,Cabbage Thoran,https://tasteasianfood.com/cabbage-thoran/,1/2 tsp turmeric powder 
indian,Cabbage Thoran,https://tasteasianfood.com/cabbage-thoran/,1 tsp salt 
indian,Cabbage Thoran,https://tasteasianfood.com/cabbage-thoran/,4 tbsp water 
indian,Cabbage Thoran,https://tasteasianfood.com/cabbage-thoran/,1/4 cup grated coconut (optional)
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,"500g chicken thigh meat, cut into bite size"
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,1/2 tsp black pepper
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,1 tsp salt
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,3 tbsp oil or ghee
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,100g chopped onion
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,1 tsp cumin seeds
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,1 tsp chopped ginger
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,1 tsp chopped garlic
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,1/2 tsp turmeric powder
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,2 tsp chili powder
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,2 tsp coriander powder
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,"200g tomato, chopped"
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,1 tbsp tomato paste
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,3 tbsp  yogurt
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,1/3 cup water
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,3 green bird's eye chili
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,1 tsp garam masala
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,2 tsp kasuri methi
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,3 tbsp cream
indian,Boneless Chicken Handi,https://tasteasianfood.com/boneless-chicken-handi/,2 tbsp chopped coriander
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,"1 kg lamb leg or shoulder, cut  into one-inch chunks"
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,1/3 cups of plain yogurt
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,4 tbsp ghee
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,"1 large size onion, cut into slices"
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,"5 cloves garlic, rough cut"
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,"1 thumb-size fresh ginger, rough cut"
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,"2 green chilies, remove seeds, rough cut"
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,2 tbsp water
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,2 bay leaves
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,3-inch length cinnamon stick
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,5 green cardamoms
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,5 cloves
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,1 tbsp cumin seeds
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,1 tsp turmeric powder
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,1 tbsp Kashmiri chili powder
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,1 tbsp coriander powder
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,1 tsp salt (or to taste)
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,1 tsp garam masala powder
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,1/4 tsp ground black pepper
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,1/2 tsp ground nutmeg
indian,Lamb Korma Recipe,https://tasteasianfood.com/lamb-korma-recipe/,1/2 tsp ground mace
indian,Beef Madras curry- Easy Indian recipe with slow cooker,https://tasteasianfood.com/beef-madras/,2 tbsp cooking oil
indian,Beef Madras curry- Easy Indian recipe with slow cooker,https://tasteasianfood.com/beef-madras/,"1 kg beef (chuck, brisket, or rump) cut into 1-inch cubes"
indian,Beef Madras curry- Easy Indian recipe with slow cooker,https://tasteasianfood.com/beef-madras/,1 tsp cumin seeds
indian,Beef Madras curry- Easy Indian recipe with slow cooker,https://tasteasianfood.com/beef-madras/,Curry leaves 
indian,Beef Madras curry- Easy Indian recipe with slow cooker,https://tasteasianfood.com/beef-madras/,1 cup chopped onions
